case_id,mission_category,required_payload_kg,required_range_km,required_endurance_min,required_cruise_speed_kmh,configuration,wing_position,propulsion_layout,tail_config,landing_gear,wingspan_m,wing_area_m2,aspect_ratio,root_chord_m,selected_airfoil,fuselage_length_m,fuselage_width_m,selected_motor,selected_propeller,battery_mass_kg,battery_fraction,battery_energy_wh,mtow_kg,cg_x_m,static_margin_percent,stall_speed_kmh,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio
FW-004,INSPECTION,0.68,42.3,71.1,76.1,High Wing / Tractor,High Wing,Tractor,Conventional,Tricycle,1.912,0.3045,12.0,0.203,Clark Y,1.434,0.172,SunnySky X2216,16x8 APC,0.744,0.179,148.8,4.154,0.542,17.8,47.7,90.17,71.09,16.02
FW-007,SURVEY,0.78,16.5,46.6,89.7,High Wing / Pusher,High Wing,Pusher,Conventional,Belly Landing,1.979,0.373,10.5,0.251,Clark Y,1.484,0.223,T-Motor MN5008,20x10 APC,0.944,0.186,188.8,5.089,0.572,17.4,46.8,69.66,46.59,12.88
FW-012,INSPECTION,0.41,35.6,27.8,73.0,High Wing / Tractor,High Wing,Tractor,Conventional,Tricycle,1.662,0.2302,12.0,0.176,Clark Y,1.247,0.15,SunnySky X2216,14x10 APC,0.205,0.065,41.0,3.136,0.481,9.5,48.1,33.81,27.79,16.63
FW-013,SURVEY,0.61,14.3,63.8,85.3,High Wing / Pusher,High Wing,Pusher,Conventional,Belly Landing,2.101,0.4205,10.5,0.267,Clark Y,1.576,0.236,T-Motor MN5008,22x12 APC,1.302,0.228,260.4,5.72,0.606,18.0,46.7,90.71,63.8,13.7
FW-016,SURVEY,0.62,34.3,87.5,87.9,High Wing / Pusher,High Wing,Pusher,Conventional,Belly Landing,2.417,0.5562,10.5,0.307,Clark Y,1.812,0.272,T-Motor MN5008,22x12 APC,2.422,0.319,484.4,7.583,0.697,17.9,46.2,128.18,87.5,13.22
FW-023,INSPECTION,1.8,35.3,96.2,109.4,High Wing / Tractor,High Wing,Tractor,Conventional,Tricycle,4.67,1.8178,12.0,0.496,Clark Y,3.503,0.42,KDE Direct 7215XF,22x12 APC,13.419,0.542,2683.8,24.778,1.324,18.0,43.1,175.4,96.2,9.64
FW-037,INSPECTION,2.72,50.0,155.2,88.4,High Wing / Twin Boom Pusher,High Wing,Twin Boom Pusher,Twin Boom,Skid,4.592,1.5062,14.0,0.418,Clark Y,3.444,0.413,KDE Direct 7215XF,22x12 APC,10.245,0.499,2049.0,20.551,1.273,11.1,45.0,228.65,155.19,13.74
FW-040,SECURITY,2.8,47.1,51.0,87.4,High Wing / Tractor,High Wing,Tractor,Conventional,Tricycle,2.251,0.362,14.0,0.205,Clark Y,1.688,0.203,T-Motor MN5008,18x10 APC,0.832,0.172,166.4,4.822,0.632,12.3,46.8,74.31,51.02,13.73
FW-097,RESEARCH,3.0,60.0,90.0,95.0,High Wing / Tractor,High Wing,Tractor,Conventional,Tricycle,3.256,1.1158,9.5,0.457,NACA 4412,2.442,0.338,T-Motor AT4120,22x12 APC,5.817,0.382,1163.4,15.21,0.955,18.0,43.5,142.5,90.0,11.72
FW-100,SURVEY,5.0,80.0,90.0,100.0,High Wing / Pusher,High Wing,Pusher,Conventional,Tricycle,3.107,0.9196,10.5,0.395,Clark Y,2.33,0.35,T-Motor AT4120,22x12 APC,5.254,0.423,1050.8,12.421,0.897,17.9,44.5,150.0,90.0,10.94
