case_id,category,fuse_length,success,candidates,feasible,rejected,cg_x,np_x,static_margin,battery_x,payload_x,avionics_x,score
FW-001,Training,1.74,SUCCESS,384,37,347,0.774,0.815,0.15,0.744,0.823,0.592,0.892
FW-002,Racing,1.47,SUCCESS,384,36,348,0.605,0.637,0.16,0.526,0.592,0.423,0.861
FW-003,Training,1.24,SUCCESS,384,27,357,0.482,0.504,0.148,0.443,0.37,0.291,0.916
FW-004,Custom,1.96,SUCCESS,384,31,353,0.875,0.898,0.148,0.838,0.927,0.564,0.869
FW-005,Research,1.47,SUCCESS,384,45,339,0.6,0.625,0.149,0.474,0.592,0.345,0.89
FW-006,Research,1.79,SUCCESS,384,32,352,0.789,0.822,0.151,0.765,0.847,0.421,0.86
FW-007,Agriculture,1.84,SUCCESS,384,17,367,0.833,0.872,0.147,0.787,0.935,0.626,0.844
FW-008,Cargo,1.25,SUCCESS,384,38,346,0.508,0.542,0.15,0.447,0.504,0.359,0.8235
FW-009,Custom,1.08,SUCCESS,384,50,334,0.447,0.488,0.148,0.424,0.473,0.311,0.889
FW-010,Racing,1.6,SUCCESS,384,39,345,0.692,0.729,0.147,0.628,0.757,0.46,0.853
FW-011,Racing,1.08,SUCCESS,384,53,331,0.425,0.453,0.148,0.424,0.36,0.311,0.911
FW-012,Custom,1.77,SUCCESS,384,27,357,0.772,0.8,0.147,0.633,0.837,0.416,0.828
FW-013,Surveillance,1.57,SUCCESS,384,29,355,0.645,0.666,0.151,0.506,0.578,0.699,0.856
FW-014,Long Endurance,1.32,SUCCESS,384,45,339,0.539,0.572,0.153,0.611,0.486,0.449,0.866
FW-015,Cargo,1.07,SUCCESS,384,49,335,0.415,0.442,0.151,0.308,0.394,0.251,0.8675
FW-016,Custom,1.09,SUCCESS,384,52,332,0.45,0.49,0.15,0.504,0.439,0.313,0.883
FW-017,Mapping,1.33,SUCCESS,384,35,349,0.528,0.551,0.148,0.522,0.443,0.382,0.871
FW-018,Mapping,1.64,SUCCESS,384,39,345,0.691,0.719,0.161,0.758,0.604,0.558,0.728
FW-019,Survey,1.4,SUCCESS,384,39,345,0.585,0.621,0.148,0.647,0.564,0.402,0.731
FW-020,Survey,1.8,SUCCESS,384,24,360,0.789,0.82,0.153,0.643,0.851,0.423,0.678
FW-021,Training,1.43,SUCCESS,384,33,351,0.589,0.618,0.147,0.511,0.576,0.411,0.903
FW-022,Surveillance,1.65,SUCCESS,384,39,345,0.723,0.762,0.148,0.821,0.723,0.561,0.862
FW-023,Agriculture,1.83,SUCCESS,384,31,353,0.81,0.841,0.151,0.782,0.866,0.526,0.875
FW-024,Cargo,1.81,SUCCESS,384,32,352,0.789,0.815,0.152,0.9,0.729,0.615,0.7545
FW-025,Long Endurance,1.26,SUCCESS,384,57,327,0.523,0.561,0.146,0.45,0.552,0.296,0.852
FW-026,Surveillance,1.82,SUCCESS,384,32,352,0.8,0.825,0.141,0.714,0.861,0.428,0.802
FW-027,Research,1.71,SUCCESS,384,40,344,0.735,0.763,0.15,0.791,0.689,0.402,0.868
FW-028,Long Endurance,1.65,SUCCESS,384,51,333,0.711,0.747,0.156,0.648,0.723,0.561,0.876
FW-029,Mapping,1.79,SUCCESS,384,32,352,0.795,0.831,0.152,0.765,0.847,0.609,0.73
FW-030,Survey,1.96,SUCCESS,384,21,363,0.876,0.899,0.15,0.975,0.858,0.666,0.724
