case_id,category,status,iterations,time_seconds,final_mtow,final_wing_area,final_cg,final_static_margin,final_cruise_power,final_endurance,final_score
FW-C-001,Long Endurance,Failed,1,3.208,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-002,Long Endurance,Failed,1,1.184,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-003,Mapping,Failed,1,3.442,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-004,Survey,Failed,1,3.26,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-005,Cargo,Failed,1,3.529,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-006,Cargo,Failed,1,3.106,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-007,Survey,Failed,1,3.642,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-008,Mapping,Failed,1,3.473,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-009,Cargo,Failed,1,4.359,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-010,Surveillance,Failed,1,4.263,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-011,Survey,Failed,1,4.325,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-012,Custom,Failed,1,4.517,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-013,Training,Failed,1,2.093,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-014,Racing,Failed,1,1.804,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-015,Surveillance,Failed,1,1.867,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-016,Long Endurance,Failed,1,2.311,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-017,Research,Failed,1,2.277,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-018,Custom,Failed,1,2.02,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-019,Custom,Failed,1,2.244,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-020,Research,Failed,1,2.101,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-021,Cargo,Failed,1,1.944,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-022,Custom,Failed,1,1.598,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-023,Cargo,Failed,1,1.701,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-024,Research,Failed,1,1.772,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-025,Training,Failed,1,0.628,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-026,Cargo,Failed,1,1.853,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-027,Racing,Failed,1,1.837,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-028,Mapping,Failed,1,1.867,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-029,Surveillance,Failed,1,1.799,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-030,Cargo,Failed,1,1.698,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-031,Long Endurance,Failed,1,1.717,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-032,Mapping,Failed,1,1.689,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-033,Surveillance,Failed,1,1.716,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-034,Racing,Failed,1,1.944,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-035,Racing,Failed,1,1.74,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-036,Research,Failed,1,1.689,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-037,Long Endurance,Failed,1,1.699,0.0,0.0,0.0,0.0,0.0,0.0,N/A
FW-C-038,Research,Failed,1,1.683,0.0,0.0,0.0,0.0,0.0,0.0,N/A
