case_id,category,mtow_kg,payload_kg,cruise_speed_kmh,success,candidates,feasible,rejected,fc,gps,telemetry,receiver,servo,servo_count,bec,power_module,layout,wire_awg,connector,payload_equipment,power_budget_w,mass_g,redundancy_level,score
FW-001,Mapping,9.4,1.9,50.1,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,Sony RX1R II Survey Camera,20.71,881.5,4,0.8283
FW-002,Long Endurance,6.9,1.0,65.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8105
FW-003,Agriculture,6.2,0.9,48.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,Heavy Sprayer Valve & Servo,34.36,616.8,4,0.8522
FW-004,Training,10.0,2.1,53.4,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8185
FW-005,Training,4.8,0.6,49.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8185
FW-006,Mapping,8.9,1.3,43.2,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,Sony RX1R II Survey Camera,20.71,878.8,4,0.8304
FW-007,Racing,8.1,1.3,41.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.806
FW-008,Research,9.5,1.9,47.5,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8204
FW-009,Training,9.2,1.7,50.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8215
FW-010,Cargo,3.7,0.7,44.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8727
