case_id,type,mission_category,payload_kg,payload_power_w,range_km,endurance_min,cruise_speed_kmh,takeoff_method,landing_method,environment,communication_range_km
FW-001,SMALL,MAPPING,0.71,5.5,11.0,39.3,66.7,RUNWAY,RUNWAY,RURAL,19.8
FW-002,SMALL,INSPECTION,0.27,5.1,19.3,62.1,76.8,HAND_LAUNCH,PARACHUTE,FOREST,25.2
FW-003,SMALL,AGRICULTURE,0.84,17.7,37.9,43.8,64.7,HAND_LAUNCH,BELLY_LANDING,FOREST,7.4
FW-004,SMALL,INSPECTION,0.68,14.3,42.3,71.1,76.1,HAND_LAUNCH,RUNWAY,FOREST,25.7
FW-005,SMALL,SURVEY,0.89,10.7,33.1,69.3,61.4,CATAPULT,BELLY_LANDING,RURAL,26.7
FW-006,SMALL,AGRICULTURE,0.56,7.6,43.4,31.4,70.7,RUNWAY,RUNWAY,RURAL,20.2
FW-007,SMALL,SURVEY,0.78,5.5,16.5,46.6,89.7,RUNWAY,PARACHUTE,RURAL,10.7
FW-008,SMALL,AGRICULTURE,0.45,18.7,20.7,34.8,88.3,HAND_LAUNCH,RUNWAY,FOREST,14.9
FW-009,SMALL,AGRICULTURE,0.57,11.0,20.6,37.3,76.8,RUNWAY,RUNWAY,FOREST,27.4
FW-010,SMALL,MAPPING,0.38,11.3,49.9,55.7,62.7,HAND_LAUNCH,BELLY_LANDING,RURAL,24.8
FW-011,SMALL,MAPPING,0.25,13.1,25.3,89.7,75.9,RUNWAY,RUNWAY,RURAL,22.0
FW-012,SMALL,INSPECTION,0.41,16.4,35.6,27.8,73.0,HAND_LAUNCH,RUNWAY,FOREST,29.3
FW-013,SMALL,SURVEY,0.61,16.7,14.3,63.8,85.3,HAND_LAUNCH,PARACHUTE,RURAL,18.5
FW-014,SMALL,AGRICULTURE,0.62,13.5,10.0,42.7,60.6,CATAPULT,BELLY_LANDING,RURAL,11.0
FW-015,SMALL,SURVEY,0.26,7.5,39.3,77.1,89.3,HAND_LAUNCH,RUNWAY,FOREST,28.7
FW-016,SMALL,SURVEY,0.62,14.7,34.3,87.5,87.9,RUNWAY,PARACHUTE,FOREST,29.9
FW-017,SMALL,AGRICULTURE,0.55,5.1,30.7,28.5,66.7,HAND_LAUNCH,RUNWAY,RURAL,19.7
FW-018,SMALL,AGRICULTURE,0.77,12.3,12.4,24.7,60.9,HAND_LAUNCH,RUNWAY,RURAL,12.0
FW-019,SMALL,SURVEY,0.63,14.9,38.9,81.8,77.3,CATAPULT,PARACHUTE,RURAL,7.4
FW-020,SMALL,MAPPING,0.48,6.6,26.4,80.5,61.6,HAND_LAUNCH,PARACHUTE,FOREST,25.0
FW-021,MEDIUM,RESEARCH,1.38,44.2,78.3,63.9,77.3,CATAPULT,PARACHUTE,DESERT,68.5
FW-022,MEDIUM,SURVEY,1.2,18.5,88.7,118.0,70.6,CATAPULT,PARACHUTE,DESERT,49.1
FW-023,MEDIUM,INSPECTION,1.8,39.2,35.3,96.2,109.4,RUNWAY,RUNWAY,DESERT,61.8
FW-024,MEDIUM,SECURITY,2.57,39.9,89.6,110.7,77.6,CATAPULT,NET_RECOVERY,COASTAL,52.5
FW-025,MEDIUM,SECURITY,1.11,12.7,82.6,112.9,104.1,CATAPULT,NET_RECOVERY,RURAL,71.1
FW-026,MEDIUM,SECURITY,1.14,33.3,107.6,99.5,107.7,CATAPULT,NET_RECOVERY,RURAL,45.2
FW-027,MEDIUM,SECURITY,2.05,22.0,114.1,72.6,98.6,RUNWAY,RUNWAY,RURAL,60.3
FW-028,MEDIUM,SURVEY,1.63,15.3,97.7,54.8,88.3,CATAPULT,NET_RECOVERY,RURAL,50.4
FW-029,MEDIUM,RESEARCH,1.7,36.7,36.2,78.0,81.4,RUNWAY,NET_RECOVERY,COASTAL,51.7
FW-030,MEDIUM,INSPECTION,2.11,20.9,113.9,59.0,105.1,CATAPULT,PARACHUTE,COASTAL,53.2
FW-031,MEDIUM,INSPECTION,2.21,26.9,94.6,72.5,95.4,RUNWAY,RUNWAY,RURAL,25.5
FW-032,MEDIUM,INSPECTION,1.55,27.1,30.3,149.1,95.5,CATAPULT,NET_RECOVERY,DESERT,53.1
FW-033,MEDIUM,SURVEY,1.02,15.1,36.8,164.2,106.2,RUNWAY,NET_RECOVERY,COASTAL,28.9
FW-034,MEDIUM,INSPECTION,1.62,24.1,110.9,152.5,104.4,CATAPULT,NET_RECOVERY,RURAL,60.0
FW-035,MEDIUM,SECURITY,2.12,39.5,108.7,176.5,100.0,CATAPULT,PARACHUTE,DESERT,21.5
FW-036,MEDIUM,SECURITY,1.66,44.9,113.8,153.3,104.6,RUNWAY,PARACHUTE,COASTAL,26.5
FW-037,MEDIUM,INSPECTION,2.72,25.9,50.0,155.2,88.4,CATAPULT,PARACHUTE,RURAL,59.6
FW-038,MEDIUM,RESEARCH,1.56,20.4,36.2,149.4,84.0,RUNWAY,PARACHUTE,RURAL,72.6
