case_id,before_status,after_status,before_mtow_kg,after_mtow_kg,before_wingspan_m,after_wingspan_m,before_ar,after_ar,before_airfoil,after_airfoil,before_telemetry,after_telemetry,before_static_margin_percent,after_static_margin_percent,before_review_priority,after_review_priority,change_reason
FW-001,SIZING_INFEASIBLE,PERFORMANCE_INFEASIBLE,3.001,2.801,1.1764,1.1764,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,17.9,17.9,NORMAL,HIGH,Status changed from SIZING_INFEASIBLE to PERFORMANCE_INFEASIBLE; MTOW changed by -0.200 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-002,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,1.3349,1.3349,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
FW-003,CONFIGURATION_INFEASIBLE,CONFIGURATION_INFEASIBLE,,,,,,,,,,,,,NORMAL,NORMAL,No changes. Sizing results identical.
FW-004,CONFIGURATION_INFEASIBLE,CONFIGURATION_INFEASIBLE,,,,,,,,,,,,,NORMAL,NORMAL,No changes. Sizing results identical.
FW-005,SIZING_INFEASIBLE,PERFORMANCE_INFEASIBLE,3.699,3.319,1.3171,1.3171,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,18.1,18.1,NORMAL,HIGH,Status changed from SIZING_INFEASIBLE to PERFORMANCE_INFEASIBLE; MTOW changed by -0.380 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-006,SIZING_INFEASIBLE,PERFORMANCE_INFEASIBLE,2.422,2.212,0.914,0.914,7.5,7.5,NACA 4412,NACA 4412,Microhard PMDDL2450,Microhard PMDDL2450,55.4,38.4,NORMAL,HIGH,Status changed from SIZING_INFEASIBLE to PERFORMANCE_INFEASIBLE; MTOW changed by -0.210 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-007,SUCCESS,SUCCESS,5.751,5.101,2.1057,1.9827,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,18.0,18.0,NORMAL,HIGH,Verification status changed from Verified to VERIFIED due to strict aggregate rule checks; MTOW changed by -0.650 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-008,SUCCESS,SUCCESS,3.763,3.522,1.441,1.3914,7.5,7.5,NACA 4412,NACA 4412,RFDesign RFD900ux,RFDesign RFD900ux,18.1,18.1,REVIEW,HIGH,Verification status changed from Verified to VERIFIED due to strict aggregate rule checks; MTOW changed by -0.241 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: REVIEW -> HIGH (hardened classification)
FW-009,SIZING_INFEASIBLE,SUCCESS,2.476,3.224,0.914,1.3326,7.5,7.5,NACA 4412,NACA 4412,RFDesign RFD900ux,RFDesign RFD900ux,52.4,17.9,NORMAL,HIGH,Status changed from SIZING_INFEASIBLE to SUCCESS; Verification status changed from N/A to VERIFIED due to strict aggregate rule checks; MTOW changed by +0.748 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-010,SIZING_INFEASIBLE,COMPONENT_DATABASE_LIMITATION,,,1.0814,1.0814,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,,,NORMAL,NORMAL,Telemetry/payload database limitation error handled cleanly
FW-011,SIZING_INFEASIBLE,COMPONENT_DATABASE_LIMITATION,,,1.0814,1.0814,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,,,NORMAL,NORMAL,Telemetry/payload database limitation error handled cleanly
FW-012,CONFIGURATION_INFEASIBLE,CONFIGURATION_INFEASIBLE,,,,,,,,,,,,,NORMAL,NORMAL,No changes. Sizing results identical.
FW-013,SUCCESS,SUCCESS,5.951,5.691,2.1408,2.0933,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,18.0,18.0,REVIEW,HIGH,Verification status changed from Verified to VERIFIED due to strict aggregate rule checks; MTOW changed by -0.260 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: REVIEW -> HIGH (hardened classification)
FW-014,CONFIGURATION_INFEASIBLE,CONFIGURATION_INFEASIBLE,,,,,,,,,,,,,NORMAL,NORMAL,No changes. Sizing results identical.
FW-015,SIZING_INFEASIBLE,COMPONENT_DATABASE_LIMITATION,,,1.0814,1.0814,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,,,NORMAL,NORMAL,Telemetry/payload database limitation error handled cleanly
FW-016,SUCCESS,SUCCESS,8.125,7.829,2.5005,2.4567,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,18.0,17.9,NORMAL,HIGH,Verification status changed from Verified to VERIFIED due to strict aggregate rule checks; MTOW changed by -0.296 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-017,SIZING_INFEASIBLE,PERFORMANCE_INFEASIBLE,2.383,2.183,0.914,0.914,7.5,7.5,NACA 4412,NACA 4412,RFDesign RFD900ux,RFDesign RFD900ux,57.1,40.9,NORMAL,HIGH,Status changed from SIZING_INFEASIBLE to PERFORMANCE_INFEASIBLE; MTOW changed by -0.200 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-018,SIZING_INFEASIBLE,PERFORMANCE_INFEASIBLE,2.826,2.406,1.0354,1.0354,7.5,7.5,NACA 4412,NACA 4412,RFDesign RFD900ux,RFDesign RFD900ux,64.7,35.4,NORMAL,HIGH,Status changed from SIZING_INFEASIBLE to PERFORMANCE_INFEASIBLE; MTOW changed by -0.420 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-019,SIZING_INFEASIBLE,PERFORMANCE_INFEASIBLE,3.13,3.01,1.1081,1.1081,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,18.1,18.1,NORMAL,NORMAL,Status changed from SIZING_INFEASIBLE to PERFORMANCE_INFEASIBLE; MTOW changed by -0.120 kg due to corrected battery continuous sizing or payload propagation
FW-020,SIZING_INFEASIBLE,COMPONENT_DATABASE_LIMITATION,,,1.0814,1.0814,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,,,NORMAL,NORMAL,Telemetry/payload database limitation error handled cleanly
FW-021,SIZING_INFEASIBLE,COMPONENT_DATABASE_LIMITATION,,,1.56,1.56,9.5,9.5,NACA 4412,NACA 4412,Silvus StreamCaster Lite,Silvus StreamCaster Lite,,,NORMAL,NORMAL,Telemetry/payload database limitation error handled cleanly
FW-022,SIZING_INFEASIBLE,COMPONENT_DATABASE_LIMITATION,,,1.5294,1.5294,10.5,10.5,Clark Y,Clark Y,,,,,NORMAL,NORMAL,Telemetry/payload database limitation error handled cleanly
FW-023,CONFIGURATION_INFEASIBLE,CONFIGURATION_INFEASIBLE,,,,,,,,,,,,,NORMAL,NORMAL,No changes. Sizing results identical.
FW-024,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,2.7628,2.7628,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
FW-025,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,1.8157,1.8157,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
FW-026,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,1.8401,1.8401,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
FW-027,CONFIGURATION_INFEASIBLE,CONFIGURATION_INFEASIBLE,,,,,,,,,,,,,NORMAL,NORMAL,No changes. Sizing results identical.
FW-028,SIZING_INFEASIBLE,COMPONENT_DATABASE_LIMITATION,,,1.7824,1.7824,10.5,10.5,Clark Y,Clark Y,,,,,NORMAL,NORMAL,Telemetry/payload database limitation error handled cleanly
FW-029,SIZING_INFEASIBLE,COMPONENT_DATABASE_LIMITATION,,,1.7315,1.7315,9.5,9.5,NACA 4412,NACA 4412,Microhard PMDDL2450,Microhard PMDDL2450,,,NORMAL,NORMAL,Telemetry/payload database limitation error handled cleanly
FW-030,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,2.5034,2.5034,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
FW-031,CONFIGURATION_INFEASIBLE,CONFIGURATION_INFEASIBLE,,,,,,,,,,,,,NORMAL,NORMAL,No changes. Sizing results identical.
FW-032,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,2.1456,2.1456,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
FW-033,SIZING_INFEASIBLE,MTOW_LIMIT_EXCEEDED,24.616,21.602,4.2614,3.9915,10.5,10.5,Clark Y,Clark Y,Microhard PMDDL2450,Microhard PMDDL2450,18.1,18.0,NORMAL,HIGH,Status changed from SIZING_INFEASIBLE to MTOW_LIMIT_EXCEEDED; MTOW changed by -3.014 kg due to corrected battery continuous sizing or payload propagation; Review priority changed: NORMAL -> HIGH (hardened classification)
FW-034,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,2.1935,2.1935,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
FW-035,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,2.5093,2.5093,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
FW-036,SIZING_INFEASIBLE,SIZING_INFEASIBLE,,,2.2205,2.2205,16.0,16.0,,Clark Y,,,,,NORMAL,NORMAL,Airfoil fallback applied: '' -> 'Clark Y'
