Case ID,Final Status,Mission Category,Payload (kg),Range (km),Endurance (min),Cruise Speed (kmh)
FW-004,SUCCESS,INSPECTION,0.68,42.3,71.1,76.1
FW-007,SUCCESS,SURVEY,0.78,16.5,46.6,89.7
FW-012,SUCCESS,INSPECTION,0.41,35.6,27.8,73.0
FW-013,SUCCESS,SURVEY,0.61,14.3,63.8,85.3
FW-016,SUCCESS,SURVEY,0.62,34.3,87.5,87.9
FW-023,SUCCESS,INSPECTION,1.8,35.3,96.2,109.4
FW-037,SUCCESS,INSPECTION,2.72,50.0,155.2,88.4
FW-040,SUCCESS,SECURITY,2.8,47.1,51.0,87.4
FW-097,SUCCESS,RESEARCH,3.0,60.0,90.0,95.0
FW-100,SUCCESS,SURVEY,5.0,80.0,90.0,100.0
