case_id,success,evaluated_count,rejected_count,optimal_length_m,optimal_width_m,optimal_height_m,optimal_fineness,optimal_cross_section,optimization_score,payload_bay_vol_m3,battery_bay_vol_m3
FW-001,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-002,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-003,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-004,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-005,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-006,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-007,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-008,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-009,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-010,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-011,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-012,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-013,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-014,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-015,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-016,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-017,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-018,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-019,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-020,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-021,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-022,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-023,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-024,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-025,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-026,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-027,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-028,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-029,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-030,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-031,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-032,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-033,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-034,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-035,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-036,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-037,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-038,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-039,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-040,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-041,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-042,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-043,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-044,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-045,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-046,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-047,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-048,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-049,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-050,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-051,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-052,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-053,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-054,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-055,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-056,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-057,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-058,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-059,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-060,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-061,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-062,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-063,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-064,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-065,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-066,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-067,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-068,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-069,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-070,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-071,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-072,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-073,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-074,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-075,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-076,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-077,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-078,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-079,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-080,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-081,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-082,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-083,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-084,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-085,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-086,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-087,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-088,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-089,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-090,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-091,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-092,SUCCESS,480,384,1.3,0.3,0.1,8.0,Circular,-0.5523,0.00579,0.00309
FW-093,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-094,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-095,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-096,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-097,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-098,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-099,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
FW-100,SUCCESS,480,288,1.3,0.2,0.1,8.0,Circular,-0.5713,0.00365,0.00194
