case_id,category,target_limit_kg,success,candidates,feasible,rejected,empty_weight,operating_weight,mtow,payload_frac,battery_frac,struct_frac,mass_conserved,Ixx,Iyy,Izz,score
FW-001,Research,17.2,SUCCESS,24,24,0,6.432,7.232,9.232,0.217,0.087,0.524,YES,0.0228,0.2854,0.2626,0.6892
FW-002,Racing,11.6,SUCCESS,24,24,0,5.102,5.902,7.902,0.253,0.101,0.462,YES,0.0147,0.3836,0.3689,0.7005
FW-003,Custom,15.6,SUCCESS,24,24,0,5.893,6.693,8.693,0.23,0.092,0.501,YES,0.0207,0.425,0.4043,0.6964
FW-004,Training,15.1,SUCCESS,24,24,0,5.777,6.577,8.577,0.233,0.093,0.496,YES,0.0206,0.2688,0.2482,0.6977
FW-005,Agriculture,25.0,SUCCESS,24,24,0,7.564,9.064,11.064,0.181,0.136,0.529,YES,0.0298,0.345,0.3152,0.6774
FW-006,Custom,14.0,SUCCESS,24,24,0,6.371,7.171,9.171,0.218,0.087,0.521,YES,0.0198,0.4249,0.4051,0.6775
FW-007,Cargo,19.4,SUCCESS,24,24,0,6.9,7.7,9.7,0.206,0.082,0.542,YES,0.0246,0.4334,0.4088,0.6853
FW-008,Agriculture,21.6,SUCCESS,24,24,0,7.169,7.969,9.969,0.201,0.08,0.551,YES,0.0263,0.5868,0.5605,0.686
FW-009,Survey,11.7,SUCCESS,24,24,0,5.155,5.955,7.955,0.251,0.101,0.464,YES,0.0152,0.2299,0.2147,0.6996
FW-010,Cargo,22.5,SUCCESS,24,24,0,7.528,9.028,11.028,0.181,0.136,0.527,YES,0.0276,0.4831,0.4555,0.6728
FW-011,Cargo,27.9,SUCCESS,24,24,0,8.032,9.532,11.532,0.173,0.13,0.543,YES,0.0318,0.6231,0.5912,0.6751
FW-012,Cargo,23.1,SUCCESS,24,24,0,6.141,7.641,9.641,0.207,0.156,0.476,YES,0.0272,0.2269,0.1997,0.6981
FW-013,Racing,12.1,SUCCESS,24,24,0,5.304,6.104,8.104,0.247,0.099,0.473,YES,0.0179,0.2188,0.2009,0.6975
FW-014,Surveillance,8.1,SUCCESS,24,24,0,5.275,6.075,8.075,0.248,0.099,0.471,YES,0.0143,0.5919,0.5776,0.6934
FW-015,Cargo,6.0,SUCCESS,24,24,0,4.793,5.243,7.243,0.276,0.062,0.466,YES,0.0141,0.4362,0.4221,0.7173
