case_id,status,candidates_generated,candidates_rejected,payload_layout,battery_layout,battery_orientation,electronics_layout,payload_x_m,battery_x_m,gps_x_m,overlap_violation,emi_violation,score
FW-001,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-002,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-003,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-004,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-005,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-006,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-007,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-008,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-009,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-010,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-011,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-012,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-013,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-014,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-015,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-016,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-017,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-018,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-019,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-020,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-021,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.25,0.401,0.521,NO,NO,-0.8935
FW-022,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.219,0.351,0.471,NO,NO,-0.8935
FW-023,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.328,0.526,0.646,NO,NO,-0.8935
FW-024,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.469,0.752,0.872,NO,NO,-0.8935
FW-025,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.201,0.324,0.444,NO,NO,-0.8935
FW-026,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.207,0.332,0.452,NO,NO,-0.8935
FW-027,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.374,0.601,0.721,NO,NO,-0.8935
FW-028,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.297,0.476,0.596,NO,NO,-0.8935
FW-029,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.309,0.496,0.616,NO,NO,-0.8935
FW-030,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.384,0.616,0.736,NO,NO,-0.8935
FW-031,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.404,0.647,0.767,NO,NO,-0.8935
FW-032,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.282,0.453,0.573,NO,NO,-0.8935
FW-033,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-034,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.294,0.472,0.592,NO,NO,-0.8935
FW-035,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.386,0.62,0.74,NO,NO,-0.8935
FW-036,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.301,0.484,0.604,NO,NO,-0.8935
FW-037,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.496,0.795,0.915,NO,NO,-0.8935
FW-038,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.285,0.457,0.577,NO,NO,-0.8935
FW-039,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.394,0.632,0.752,NO,NO,-0.8935
FW-040,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.51,0.819,0.939,NO,NO,-0.8935
FW-041,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.41,0.659,0.779,NO,NO,-0.8935
FW-042,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.25,0.401,0.521,NO,NO,-0.8935
FW-043,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.258,0.413,0.533,NO,NO,-0.8935
