case_id,category,success,candidates,feasible,rejected,stall_speed,cruise_speed,max_speed,takeoff_dist,landing_dist,roc,range,endurance,score
FW-001,Agriculture,SUCCESS,1,1,0,46.6,106.1,218.9,24.5,12.4,16.16,73.0,41.3,0.8783
FW-002,Mapping,SUCCESS,1,1,0,46.8,98.9,206.9,20.7,10.5,13.48,67.6,41.0,0.898
FW-003,Racing,SUCCESS,1,1,0,45.5,97.5,197.2,17.9,9.1,12.2,66.2,40.8,0.8849
FW-004,Agriculture,SUCCESS,1,1,0,49.4,99.2,198.4,18.3,9.2,10.46,66.3,40.1,0.9031
FW-005,Long Endurance,SUCCESS,1,1,0,46.3,92.6,199.1,18.5,9.3,12.22,62.2,40.3,0.8873
FW-006,Cargo,SUCCESS,1,1,0,43.0,110.9,209.1,21.4,10.8,16.48,76.8,41.5,0.8888
FW-007,Mapping,SUCCESS,1,1,0,51.2,99.7,212.2,22.4,11.3,11.89,66.9,40.3,0.8798
FW-008,Training,SUCCESS,1,1,0,48.4,120.0,221.0,25.3,12.8,15.12,82.7,41.4,0.8787
FW-009,Surveillance,SUCCESS,1,1,0,48.4,99.8,202.7,19.5,9.9,11.7,67.2,40.4,0.9
FW-010,Training,SUCCESS,1,1,0,46.6,95.6,200.8,19.0,9.6,12.35,64.4,40.4,0.8924
FW-011,Training,SUCCESS,1,1,0,42.9,100.0,195.8,17.6,8.9,13.56,68.9,41.4,0.9022
FW-012,Agriculture,SUCCESS,1,1,0,46.3,119.2,219.4,24.7,12.5,16.32,82.9,41.7,0.8906
FW-013,Racing,SUCCESS,1,1,0,46.9,97.8,208.2,21.1,10.7,13.7,66.2,40.6,0.8957
FW-014,Research,SUCCESS,1,1,0,49.5,111.3,219.9,24.9,12.6,14.4,76.5,41.3,0.8979
FW-015,Cargo,SUCCESS,1,1,0,46.9,96.9,207.2,20.8,10.5,13.42,66.0,40.8,0.88
FW-016,Cargo,SUCCESS,1,1,0,44.3,114.7,213.6,22.8,11.6,16.47,79.3,41.5,0.8916
FW-017,Racing,SUCCESS,1,1,0,45.8,92.3,198.3,18.2,9.2,12.45,62.4,40.5,0.9059
FW-018,Survey,SUCCESS,1,1,0,47.9,112.3,217.2,24.0,12.1,14.7,76.9,41.1,0.8802
FW-019,Racing,SUCCESS,1,1,0,52.2,115.6,212.3,24.9,12.6,12.67,77.9,40.4,0.8871
FW-020,Cargo,SUCCESS,1,1,0,44.7,95.7,198.0,18.2,9.2,12.93,64.8,40.6,0.8909
FW-021,Surveillance,SUCCESS,1,1,0,47.8,111.4,214.9,23.2,11.8,14.37,76.1,41.0,0.9052
FW-022,Racing,SUCCESS,1,1,0,49.4,103.1,215.4,23.4,11.8,13.55,70.1,40.8,0.876
FW-023,Agriculture,SUCCESS,1,1,0,48.1,103.2,206.0,20.5,10.4,12.47,70.0,40.7,0.9056
FW-024,Cargo,SUCCESS,1,1,0,46.9,109.8,218.5,24.4,12.4,15.85,75.7,41.4,0.9138
FW-025,Survey,SUCCESS,1,1,0,53.8,103.5,199.5,21.0,10.6,9.89,68.9,39.9,0.8869
FW-026,Racing,SUCCESS,1,1,0,48.6,89.9,194.1,17.1,8.7,9.98,59.5,39.7,0.8765
FW-027,Surveillance,SUCCESS,1,1,0,50.1,116.9,221.0,25.3,12.8,14.19,80.4,41.3,0.9157
FW-028,Mapping,SUCCESS,1,1,0,45.2,99.3,195.2,17.4,8.8,12.01,67.1,40.5,0.8964
FW-029,Training,SUCCESS,1,1,0,51.0,112.2,214.2,24.7,12.5,13.3,75.6,40.4,0.8833
FW-030,Survey,SUCCESS,1,1,0,49.6,113.8,217.5,24.1,12.2,13.77,76.9,40.5,0.8951
FW-031,Mapping,SUCCESS,1,1,0,48.5,102.8,204.7,20.1,10.2,12.03,69.6,40.6,0.9043
FW-032,Long Endurance,SUCCESS,1,1,0,47.7,104.1,207.6,20.9,10.6,13.04,71.1,41.0,0.908
FW-033,Training,SUCCESS,1,1,0,51.0,98.2,209.1,21.4,10.8,11.57,65.9,40.3,0.897
FW-034,Racing,SUCCESS,1,1,0,47.1,101.4,206.0,20.4,10.3,12.99,68.5,40.6,0.8803
FW-035,Research,SUCCESS,1,1,0,42.8,86.4,192.4,16.7,8.4,13.09,58.9,40.9,0.904
FW-036,Mapping,SUCCESS,1,1,0,45.8,107.7,217.7,24.2,12.2,16.48,74.5,41.5,0.8864
FW-037,Cargo,SUCCESS,1,1,0,49.9,98.1,194.0,17.2,8.7,9.46,64.9,39.7,0.8857
FW-038,Mapping,SUCCESS,1,1,0,51.7,102.4,198.4,21.2,10.7,10.99,67.8,39.7,0.8875
FW-039,Agriculture,SUCCESS,1,1,0,55.2,100.5,191.8,20.6,10.4,9.23,66.5,39.7,0.8934
FW-040,Training,SUCCESS,1,1,0,46.2,96.3,203.4,19.7,10.0,13.06,64.9,40.4,0.8804
FW-041,Racing,SUCCESS,1,1,0,44.8,100.1,200.7,18.9,9.6,13.37,68.8,41.2,0.8951
FW-042,Cargo,SUCCESS,1,1,0,46.9,107.9,208.3,21.2,10.7,13.62,73.9,41.1,0.9112
FW-043,Racing,SUCCESS,1,1,0,45.6,96.2,205.5,20.3,10.3,14.04,65.7,41.0,0.9048
FW-044,Racing,SUCCESS,1,1,0,48.8,107.5,206.3,20.6,10.4,12.01,72.4,40.4,0.8889
FW-045,Cargo,SUCCESS,1,1,0,47.4,95.9,204.0,19.9,10.1,12.47,64.8,40.5,0.8801
FW-046,Mapping,SUCCESS,1,1,0,50.9,99.5,200.5,19.9,10.1,10.62,65.9,39.7,0.885
FW-047,Racing,SUCCESS,1,1,0,48.2,104.1,213.8,22.9,11.6,14.01,71.0,40.9,0.8944
FW-048,Long Endurance,SUCCESS,1,1,0,50.6,110.8,215.0,23.3,11.8,12.6,75.9,41.1,0.8753
FW-049,Agriculture,SUCCESS,1,1,0,54.4,116.6,210.5,24.6,12.5,11.42,78.0,40.1,0.8871
FW-050,Cargo,SUCCESS,1,1,0,48.0,92.6,195.5,17.5,8.9,10.7,61.9,40.1,0.8982
FW-051,Training,SUCCESS,1,1,0,43.2,95.1,194.4,17.2,8.7,13.07,64.8,40.9,0.8842
FW-052,Cargo,SUCCESS,1,1,0,43.9,101.9,201.7,19.2,9.7,14.21,69.3,40.8,0.9081
FW-053,Survey,SUCCESS,1,1,0,48.5,103.4,216.4,23.7,12.0,14.25,70.3,40.8,0.8742
FW-054,Mapping,SUCCESS,1,1,0,49.8,111.1,216.4,23.7,12.0,13.46,75.4,40.7,0.897
FW-055,Surveillance,SUCCESS,1,1,0,46.7,108.0,218.8,24.5,12.4,16.1,75.1,41.7,0.8902
FW-056,Racing,SUCCESS,1,1,0,49.7,110.9,214.1,23.0,11.6,12.94,75.7,41.0,0.8749
FW-057,Surveillance,SUCCESS,1,1,0,46.6,105.3,203.2,19.6,9.9,12.74,72.1,41.1,0.908
FW-058,Training,SUCCESS,1,1,0,47.8,110.7,214.0,22.9,11.6,14.17,75.6,41.0,0.9009
FW-059,Mapping,SUCCESS,1,1,0,54.8,113.8,201.6,23.5,11.9,10.71,75.8,39.9,0.8907
FW-060,Training,SUCCESS,1,1,0,50.7,116.0,220.8,25.2,12.8,13.66,79.3,41.0,0.8809
FW-061,Racing,SUCCESS,1,1,0,45.9,96.8,201.7,19.2,9.7,12.95,66.0,40.9,0.8951
FW-062,Training,SUCCESS,1,1,0,48.8,108.5,218.9,24.5,12.4,14.69,74.6,41.3,0.9014
FW-063,Agriculture,SUCCESS,1,1,0,44.7,99.4,200.2,18.8,9.5,13.34,67.5,40.7,0.889
FW-064,Long Endurance,SUCCESS,1,1,0,48.2,109.2,215.0,23.2,11.8,14.16,75.4,41.4,0.8936
FW-065,Research,SUCCESS,1,1,0,47.1,101.3,207.9,21.1,10.7,13.51,68.8,40.7,0.9122
FW-066,Custom,SUCCESS,1,1,0,50.5,114.1,217.6,24.1,12.2,13.18,77.6,40.8,0.8875
FW-067,Cargo,SUCCESS,1,1,0,47.7,99.5,210.8,21.9,11.1,13.74,67.5,40.7,0.8942
FW-068,Survey,SUCCESS,1,1,0,50.5,109.9,209.6,21.6,10.9,11.75,74.0,40.4,0.9065
FW-069,Long Endurance,SUCCESS,1,1,0,53.0,108.2,210.5,23.2,11.8,11.47,72.3,40.1,0.8924
FW-070,Mapping,SUCCESS,1,1,0,46.1,95.8,192.6,16.7,8.5,10.95,63.4,39.7,0.8813
FW-071,Survey,SUCCESS,1,1,0,42.0,96.6,200.7,18.9,9.6,15.4,66.5,41.3,0.8865
FW-072,Custom,SUCCESS,1,1,0,48.7,100.2,203.5,19.7,10.0,11.7,67.3,40.3,0.8942
FW-073,Cargo,SUCCESS,1,1,0,41.8,96.0,201.0,19.0,9.6,15.7,66.4,41.5,0.8934
FW-074,Cargo,SUCCESS,1,1,0,48.6,102.6,203.7,19.8,10.0,11.76,68.6,40.1,0.8982
FW-075,Survey,SUCCESS,1,1,0,45.6,100.3,200.3,18.8,9.5,12.84,68.2,40.8,0.9001
FW-076,Training,SUCCESS,1,1,0,41.9,93.9,189.7,16.0,8.1,12.96,64.0,40.9,0.8957
FW-077,Survey,SUCCESS,1,1,0,42.8,93.6,194.2,17.1,8.7,13.35,64.1,41.1,0.8877
FW-078,Cargo,SUCCESS,1,1,0,44.2,90.9,197.0,17.9,9.1,13.16,61.6,40.6,0.911
FW-079,Surveillance,SUCCESS,1,1,0,47.0,104.3,213.5,22.8,11.5,14.77,71.3,41.0,0.9159
FW-080,Mapping,SUCCESS,1,1,0,46.7,95.3,203.7,19.8,10.0,12.94,65.0,40.9,0.9031
FW-081,Training,SUCCESS,1,1,0,44.1,89.9,193.2,16.9,8.5,12.43,60.7,40.5,0.9136
FW-082,Surveillance,SUCCESS,1,1,0,47.7,93.9,203.3,19.7,10.0,12.2,63.6,40.7,0.8788
FW-083,Mapping,SUCCESS,1,1,0,49.3,109.9,220.2,25.0,12.6,14.53,75.1,41.0,0.8779
FW-084,Mapping,SUCCESS,1,1,0,47.9,114.5,217.7,24.2,12.2,14.89,79.0,41.4,0.8973
FW-085,Mapping,SUCCESS,1,1,0,48.3,104.8,205.7,20.4,10.3,12.33,71.5,40.9,0.9142
FW-086,Mapping,SUCCESS,1,1,0,52.9,111.5,216.9,24.1,12.2,11.86,75.4,40.6,0.8784
FW-087,Racing,SUCCESS,1,1,0,45.8,105.8,213.0,22.6,11.4,15.44,73.5,41.7,0.8855
FW-088,Agriculture,SUCCESS,1,1,0,50.7,99.4,210.2,21.8,11.0,11.91,67.2,40.6,0.8941
FW-089,Research,SUCCESS,1,1,0,46.7,93.9,201.5,19.1,9.7,12.41,64.0,40.9,0.8778
FW-090,Survey,SUCCESS,1,1,0,47.9,114.6,219.0,24.6,12.4,15.14,79.1,41.4,0.8821
FW-091,Training,SUCCESS,1,1,0,45.7,102.2,210.4,21.8,11.0,15.0,70.5,41.4,0.9012
FW-092,Surveillance,SUCCESS,1,1,0,45.8,98.4,195.1,17.4,8.8,11.54,66.1,40.3,0.8788
FW-093,Training,SUCCESS,1,1,0,42.8,97.3,191.6,16.4,8.3,12.72,66.1,40.8,0.9001
FW-094,Custom,SUCCESS,1,1,0,46.0,106.6,212.5,22.5,11.4,15.16,73.1,41.1,0.9161
FW-095,Cargo,SUCCESS,1,1,0,48.0,114.3,216.1,23.6,11.9,14.45,78.9,41.4,0.8988
