case_id,category,wingspan_m,mtow_kg,payload_kg,cruise_speed_kmh,success,candidates,feasible,rejected,motor,propeller,esc,battery,voltage_v,cruise_current_a,climb_current_a,static_thrust_n,cruise_power_w,endurance_min,score
FW-001,Mapping,1.78,11.2,2.3,55.1,SUCCESS,411,125,286,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,4.69,19.96,115.26,213.7,163.9,0.7295
FW-002,Custom,2.19,10.7,1.5,50.3,SUCCESS,411,167,244,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,4.31,20.12,115.26,186.4,178.0,0.7273
FW-003,Mapping,2.01,8.3,1.2,69.9,SUCCESS,411,269,142,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,4.41,15.15,115.26,200.9,174.3,0.7632
FW-004,Surveillance,3.0,12.8,1.9,58.6,SUCCESS,411,50,361,T-Motor AT4120,15x10 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,12.02,47.63,56.49,259.7,39.9,0.452
FW-005,Custom,1.76,6.8,1.4,60.4,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,3.29,12.74,115.26,142.2,145.8,0.7544
FW-006,Surveillance,2.11,12.2,1.8,58.5,SUCCESS,411,61,350,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,5.72,22.63,115.26,247.1,134.3,0.6677
FW-007,Training,2.12,12.0,2.6,56.9,SUCCESS,411,83,328,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,5.47,22.43,115.26,236.4,140.3,0.6758
FW-008,Custom,1.97,5.1,1.0,60.4,SUCCESS,411,315,96,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.47,9.63,115.26,106.7,194.3,0.8031
FW-009,Racing,1.65,6.9,1.3,58.0,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 5000mAh 40C Pack,45.6,3.04,12.45,115.26,138.6,79.0,0.8007
FW-010,Cargo,1.73,6.4,1.1,54.3,SUCCESS,411,304,107,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.78,11.96,115.26,120.3,172.4,0.812
FW-011,Cargo,1.67,7.9,1.4,66.8,SUCCESS,411,280,131,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,4.23,15.14,115.26,182.7,90.8,0.7713
FW-012,Research,2.02,12.3,1.8,56.4,SUCCESS,411,72,339,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,5.56,23.6,115.26,240.2,138.1,0.67
FW-013,Surveillance,2.72,11.0,1.4,57.1,SUCCESS,411,92,319,T-Motor AT4120,15x10 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,10.07,41.74,56.49,217.5,47.7,0.5012
FW-014,Training,2.85,10.4,1.9,43.7,SUCCESS,411,145,266,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,3.64,19.01,115.26,157.4,210.8,0.7346
FW-015,Survey,2.55,10.8,1.6,59.5,SUCCESS,411,156,255,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,4.88,19.2,115.26,222.5,157.4,0.7182
FW-016,Training,2.44,10.1,1.8,54.2,SUCCESS,411,166,245,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,4.39,19.09,115.26,189.6,175.0,0.7264
FW-017,Surveillance,2.4,11.1,1.8,59.9,SUCCESS,411,125,286,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,5.33,21.14,115.26,230.2,144.1,0.6838
FW-018,Cargo,1.88,11.6,2.1,69.1,SUCCESS,411,30,381,T-Motor AT4120,13x8 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,12.17,42.2,51.35,277.5,13.0,0.4381
FW-019,Survey,2.12,6.2,1.3,59.9,SUCCESS,411,259,152,T-Motor AT4120,14x10 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,5.64,22.03,53.95,128.6,85.1,0.6332
FW-020,Long Endurance,2.26,6.5,1.2,48.1,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.51,12.17,115.26,108.3,191.5,0.8272
FW-021,Long Endurance,1.28,6.1,0.8,63.6,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,3.11,11.54,115.26,134.3,247.0,0.7999
FW-022,Long Endurance,2.36,6.5,1.2,45.4,SUCCESS,411,315,96,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.37,11.87,115.26,102.2,202.9,0.8285
FW-023,Racing,1.95,5.2,0.9,57.8,SUCCESS,411,259,152,T-Motor AT4120,12x6 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,4.57,18.73,48.68,104.1,34.7,0.8291
FW-024,Training,1.52,6.4,0.9,43.1,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,2.21,11.61,115.26,95.5,173.7,0.8053
FW-025,Survey,2.92,16.9,3.5,64.0,SUCCESS,411,11,400,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,8.21,30.21,115.26,374.5,93.5,0.537
FW-026,Research,2.72,8.6,1.6,53.5,SUCCESS,411,280,131,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,3.69,15.81,115.26,159.3,208.3,0.7427
FW-027,Cargo,2.23,10.9,1.4,47.3,SUCCESS,411,124,287,T-Motor AT4120,14x10 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,7.83,38.36,53.95,178.5,20.2,0.4908
FW-028,Survey,2.57,12.0,1.8,56.7,SUCCESS,411,72,339,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,5.17,21.68,115.26,235.6,148.6,0.6938
FW-029,Research,1.49,6.3,0.9,55.0,SUCCESS,411,315,96,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.78,12.12,115.26,120.0,172.8,0.7877
FW-030,Cargo,1.24,4.9,0.8,60.8,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,2.39,9.31,115.26,103.2,160.7,0.8268
FW-031,Custom,1.27,4.7,0.9,45.5,SUCCESS,411,349,62,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,1.71,8.54,115.26,74.0,224.2,0.8219
