case_id,category,wingspan_m,wing_area_m2,fuse_length_m,declared_tail_cfg,success,candidates,feasible,rejected,tail_config,V_h,V_v,tail_arm_m,h_area_m2,v_area_m2,h_span_m,h_ar,v_ar,score
FW-001,Racing,1.89,0.3112,0.94,V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.718,0.0446,0.0246,0.366,3.0,1.2,-0.1474
FW-002,Custom,2.89,0.7104,1.91,T-Tail,SUCCESS,12096,2304,9792,Conventional,0.625,0.03,1.445,0.0755,0.0426,0.476,3.0,1.2,-0.14
FW-003,Racing,2.26,0.5984,1.33,Twin Boom,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,1.13,0.0876,0.0359,0.513,3.0,1.2,-0.1423
FW-004,Racing,2.56,0.7125,1.81,T-Tail,SUCCESS,12096,2304,9792,Conventional,0.625,0.03,1.28,0.0968,0.0427,0.539,3.0,1.2,-0.136
FW-005,Long Endurance,2.22,0.6313,0.8,Twin Boom,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-006,Racing,1.26,0.2281,1.06,Inverted V-Tail,SUCCESS,12096,5040,7056,Conventional,0.624,0.03,0.781,0.033,0.011,0.315,3.0,1.2,-0.1769
FW-007,Mapping,2.83,0.4824,1.55,T-Tail,SUCCESS,12096,1152,10944,Conventional,0.625,0.03,1.075,0.0478,0.0381,0.379,3.0,1.2,-0.1406
FW-008,Long Endurance,2.26,0.4164,1.86,T-Tail,SUCCESS,12096,3360,8736,Conventional,0.625,0.03,1.401,0.0342,0.0201,0.32,3.0,1.2,-0.171
FW-009,Research,1.97,0.478,1.2,Conventional,SUCCESS,12096,1152,10944,Conventional,0.625,0.03,0.985,0.0736,0.0287,0.47,3.0,1.2,-0.1493
FW-010,Agriculture,1.53,0.31,1.75,Conventional,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.949,0.0414,0.015,0.352,3.0,1.2,-0.1729
