case_id,category,convergence,cert_status,cert_score,rules_total,rules_passed,rules_failed,rules_warned,recommendations,mtow_kg,wing_area_m2,static_margin,compliance_CG,compliance_Certification,compliance_Electrical,compliance_Fuselage,compliance_Geometry,compliance_Manufacturing,compliance_Mass,compliance_Mission,compliance_Propulsion,compliance_Safety,compliance_Tail,compliance_Wing
FW-C-001,Long Endurance,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-002,Long Endurance,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-003,Mapping,OK,CERTIFIED,100.0,14,14,0,0,No recommendations. Design is fully compliant.,8.81,0.5553,0.15,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant
FW-C-004,Survey,OK,CERTIFIED,100.0,14,14,0,0,No recommendations. Design is fully compliant.,8.6,0.4969,0.151,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant
FW-C-005,Cargo,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-006,Cargo,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-007,Survey,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-008,Mapping,OK,CERTIFIED,100.0,14,14,0,0,No recommendations. Design is fully compliant.,8.69,0.5347,0.148,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant
FW-C-009,Cargo,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-010,Surveillance,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-011,Survey,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-012,Custom,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-013,Training,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-014,Racing,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-015,Surveillance,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-016,Long Endurance,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-017,Research,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-018,Custom,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-019,Custom,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-020,Research,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-021,Cargo,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-022,Custom,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-023,Cargo,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-024,Research,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-025,Training,OK,CERTIFIED,100.0,14,14,0,0,No recommendations. Design is fully compliant.,8.14,0.477,0.159,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant
FW-C-026,Cargo,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-027,Racing,FAIL,NO_FEASIBLE_DESIGN,0.0,0,0,0,0,Optimization engine was unable to synthesize a feasible candidate aircraft configuration.,0.0,0.0,0.0,,,,,,,,,,,,
FW-C-028,Mapping,OK,CERTIFIED,100.0,14,14,0,0,No recommendations. Design is fully compliant.,8.72,0.5247,0.157,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant
FW-C-029,Surveillance,OK,CERTIFIED,100.0,14,14,0,0,No recommendations. Design is fully compliant.,7.99,0.4271,0.148,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant
