Subsystem,Component Model / Description,Mass (kg),Key Sizing Metric
STRUCTURE,Wing Structure,0.8180,"x_cg=0.545m, moment=0.4458kg.m, class=DERIVED"
STRUCTURE,Fuselage Structure,0.9698,"x_cg=0.729m, moment=0.7070kg.m, class=CONFIGURABLE_ASSUMPTION"
STRUCTURE,Tail Structure,0.2340,"x_cg=1.200m, moment=0.2808kg.m, class=DERIVED"
STRUCTURE,Twin Booms Structure,0.4500,"x_cg=0.600m, moment=0.2700kg.m, class=CONFIGURABLE_ASSUMPTION"
STRUCTURE,Landing Gear Assembly,0.2800,"x_cg=0.450m, moment=0.1260kg.m, class=CONFIGURABLE_ASSUMPTION"
STRUCTURE,Structural Hardware & Fasteners,0.1800,"x_cg=0.500m, moment=0.0900kg.m, class=CONFIGURABLE_ASSUMPTION"
PROPULSION,Lift Motors (4x),0.7200,"x_cg=0.500m, moment=0.3600kg.m, class=DERIVED"
PROPULSION,Lift ESCs (4x),0.1680,"x_cg=0.500m, moment=0.0840kg.m, class=CONFIGURABLE_ASSUMPTION"
PROPULSION,Lift Propellers (4x),0.2080,"x_cg=0.500m, moment=0.1040kg.m, class=DERIVED"
PROPULSION,Forward Cruise Motor,0.1400,"x_cg=0.900m, moment=0.1260kg.m, class=DERIVED"
PROPULSION,Forward Cruise ESC,0.0450,"x_cg=0.800m, moment=0.0360kg.m, class=CONFIGURABLE_ASSUMPTION"
PROPULSION,Forward Cruise Propeller,0.0350,"x_cg=0.950m, moment=0.0333kg.m, class=CONFIGURABLE_ASSUMPTION"
PROPULSION,Propulsion Mounts & Hardware,0.1200,"x_cg=0.500m, moment=0.0600kg.m, class=CONFIGURABLE_ASSUMPTION"
ELECTRICAL,Primary Flight Battery Pack,2.2559,"x_cg=0.450m, moment=1.0152kg.m, class=DERIVED"
ELECTRICAL,Electrical Wiring Harness,0.2200,"x_cg=0.450m, moment=0.0990kg.m, class=CONFIGURABLE_ASSUMPTION"
ELECTRICAL,Power Distribution Board & Regulators,0.0850,"x_cg=0.400m, moment=0.0340kg.m, class=CONFIGURABLE_ASSUMPTION"
AVIONICS,Primary Flight Controller,0.0450,"x_cg=0.250m, moment=0.0112kg.m, class=DERIVED"
AVIONICS,GNSS & Navigation Unit,0.0650,"x_cg=0.350m, moment=0.0227kg.m, class=DERIVED"
AVIONICS,Telemetry & RC Communication,0.0500,"x_cg=0.480m, moment=0.0240kg.m, class=DERIVED"
AVIONICS,Pitot-Static & Air Data Sensors,0.0350,"x_cg=0.100m, moment=0.0035kg.m, class=DERIVED"
AVIONICS,Companion Computer,0.0460,"x_cg=0.300m, moment=0.0138kg.m, class=DERIVED"
PAYLOAD,Primary Mission Payload,0.6500,"x_cg=0.300m, moment=0.1950kg.m, class=DERIVED"
PAYLOAD,Payload Mount & Dampener,0.2500,"x_cg=0.280m, moment=0.0700kg.m, class=DERIVED"
