case_id,success,evaluated_count,rejected_count,optimal_ar,optimal_taper,optimal_sweep,optimal_dihedral,optimization_score,wing_area_m2,wing_span_m,root_chord_m,tip_chord_m,mac_m,wing_loading_kg_m2
FW-001,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.522,0.2598,1.612,0.239,0.084,0.174,13.66
FW-002,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.4998,0.2196,1.325,0.245,0.086,0.178,13.66
FW-003,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.5541,0.3074,1.568,0.196,0.196,0.196,13.66
FW-004,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.5012,0.2489,1.411,0.261,0.091,0.19,13.66
FW-005,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.5542,0.3257,1.805,0.267,0.094,0.194,13.66
FW-006,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.5242,0.2196,1.325,0.166,0.166,0.166,13.66
FW-007,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.4358,0.2855,1.69,0.25,0.088,0.182,13.66
FW-008,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.4632,0.2196,1.325,0.166,0.166,0.166,13.66
FW-009,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.4983,0.2196,1.325,0.166,0.166,0.166,13.66
FW-010,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.5488,0.2196,1.482,0.22,0.077,0.16,13.66
FW-011,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.4801,0.2196,1.482,0.22,0.077,0.16,13.66
FW-012,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.5152,0.2196,1.325,0.245,0.086,0.178,13.66
FW-013,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.4492,0.2232,1.494,0.221,0.077,0.161,13.66
FW-014,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.5855,0.2269,1.347,0.168,0.168,0.168,13.66
FW-015,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.4391,0.2196,1.482,0.22,0.077,0.16,13.66
FW-016,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.4423,0.2269,1.506,0.223,0.078,0.162,13.66
FW-017,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.5453,0.2196,1.325,0.166,0.166,0.166,13.66
FW-018,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.5811,0.2818,1.501,0.188,0.188,0.188,13.66
FW-019,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.4744,0.2306,1.518,0.225,0.079,0.164,13.66
FW-020,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.5566,0.2196,1.482,0.22,0.077,0.16,13.66
FW-021,SUCCESS,5292,0,9.0,0.35,0.0,0.0,-0.4773,0.505,2.132,0.351,0.123,0.255,13.66
FW-022,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.4956,0.4392,2.096,0.31,0.109,0.226,13.66
